id,miou,mean_max_conf,dominant_class,group,selected
JPEGImages/2010_005180.jpg SegmentationClass/2010_005180.png,58.08636486287134,0.9572837948799133,0,majority,False
JPEGImages/2008_006341.jpg SegmentationClass/2008_006341.png,91.41540434393455,0.9782794713973999,0,majority,True
JPEGImages/2007_000529.jpg SegmentationClass/2007_000529.png,60.73751661095967,0.9898534417152405,0,majority,True
JPEGImages/2008_000107.jpg SegmentationClass/2008_000107.png,36.57313240497077,0.9419727325439453,0,majority,False
JPEGImages/2009_003928.jpg SegmentationClass/2009_003928.png,85.16213845314373,0.9846855998039246,0,majority,False
JPEGImages/2009_000931.jpg SegmentationClass/2009_000931.png,98.70406542104865,0.996828556060791,0,majority,True
JPEGImages/2011_002675.jpg SegmentationClass/2011_002675.png,87.20590786188082,0.9742761850357056,0,majority,False
JPEGImages/2007_009911.jpg SegmentationClass/2007_009911.png,98.07563666661795,0.9970066547393799,0,majority,True
JPEGImages/2008_002835.jpg SegmentationClass/2008_002835.png,84.70037034445662,0.9799556136131287,0,majority,False
JPEGImages/2009_000839.jpg SegmentationClass/2009_000839.png,90.84013088767074,0.9833899736404419,12,majority,True
JPEGImages/2011_003145.jpg SegmentationClass/2011_003145.png,86.62115495235516,0.9883281588554382,0,majority,True
JPEGImages/2007_005844.jpg SegmentationClass/2007_005844.png,41.42422991853017,0.9177563190460205,0,majority,False
JPEGImages/2009_002562.jpg SegmentationClass/2009_002562.png,94.09424153433655,0.970371425151825,20,minority,False
JPEGImages/2007_006076.jpg SegmentationClass/2007_006076.png,63.501325277199115,0.9908167123794556,0,majority,True
JPEGImages/2009_001816.jpg SegmentationClass/2009_001816.png,96.50457566326223,0.9924446940422058,0,majority,False
JPEGImages/2009_001108.jpg SegmentationClass/2009_001108.png,98.00568431039034,0.9985314607620239,0,majority,True
JPEGImages/2010_005719.jpg SegmentationClass/2010_005719.png,98.92885872941648,0.9938758611679077,0,majority,True
JPEGImages/2008_005544.jpg SegmentationClass/2008_005544.png,94.79929215993532,0.9759888648986816,0,majority,False
JPEGImages/2007_002719.jpg SegmentationClass/2007_002719.png,41.48785269431255,0.930044412612915,0,majority,False
JPEGImages/2010_000083.jpg SegmentationClass/2010_000083.png,56.08266329476118,0.9955050349235535,0,majority,True
JPEGImages/2010_003183.jpg SegmentationClass/2010_003183.png,96.75979947726904,0.9930114150047302,0,majority,True
JPEGImages/2007_007996.jpg SegmentationClass/2007_007996.png,39.880043438168876,0.9401627779006958,0,majority,False
JPEGImages/2009_002535.jpg SegmentationClass/2009_002535.png,98.10535382473721,0.9963741302490234,0,majority,False
JPEGImages/2007_005058.jpg SegmentationClass/2007_005058.png,93.17644423979026,0.9988908171653748,0,majority,True
JPEGImages/2010_003758.jpg SegmentationClass/2010_003758.png,98.51256210883261,0.9794449806213379,0,majority,False
JPEGImages/2008_007507.jpg SegmentationClass/2008_007507.png,49.66522719093888,0.9994455575942993,0,majority,True
JPEGImages/2011_000548.jpg SegmentationClass/2011_000548.png,83.80586499154109,0.9811912178993225,0,majority,False
